Analysis identifier,Study,Met the study criterion for zero diseases (n),Met the study criterion for one disease (n),Met the study criterion for two or more diseases (n),Accessions or lines assessed (n),Source and classification rule
panelA_pr_2017_2018,"Puerto Rico
2017–2018",22,61,25,108,Prespecified study criteria were applied to accessions measured for all three diseases.
prom_minicore_multidisease_2019,"Sorghum mini-core
2019",53,95,76,224,Source-reported resistant and susceptible classes among lines measured for all three diseases; the study cohort includes accessions and checks.
prom_senegal_seed_quality_2018_workbook,"Senegal collection
(Cuevas et al. 2018)",58,58,13,129,Counts for accessions with both disease measurements came from the supplementary workbook; the article summary provided the sensitivity comparison.
prom_converted_lines_anthracnose_downy_2016,"Converted lines
anthracnose and
downy mildew",30,17,1,48,"Source-reported classes among converted lines measured for both diseases; anthracnose required a resistant response in both years, and downy mildew used the article-supported resistant or moderately resistant recommendation."
prom_accession_anthracnose_grain_mold_2020,"U.S. accessions
anthracnose and
grain mold",34,13,0,47,The article identifies anthracnose and grain-mold candidates among the same 47 accessions. The two-accession treatment table is a nested follow-up within that cohort.
