Dataset identifier,Source identifier,Study identifier,Independent screen identifier,Data source,Observations (n),Accessions or lines assessed (n),Diseases (n),Endpoints (n),Environments (n),Study roles,Pareto analysis identifier,Candidate criteria applied (n),Candidates (n),Role in the analysis
ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,Publicly available study source,168,41,1,2,2,Genotype with a duplicated printed label; Screened genotype,,2,13,Candidate criterion based on numerical values; conflicting printed accession labels are reported
ref_beshir_sudan_leaf_blight_2015,ref_beshir_sudan_leaf_blight_2015,ref_beshir_sudan_leaf_blight_2015,experiment:beshir_central_sudan_leaf_blight_survey_2014,Publicly available study source,22,11,1,2,1,Farmer preferred variety,,0,0,Descriptive observational survey
ref_buiate_brazil_anthracnose_2009,ref_buiate_brazil_anthracnose_2009,ref_buiate_brazil_anthracnose_2009_field_screen,experiment:buiate_brazil_anthracnose_field_screen_2006,Publicly available study source,3600,150,1,2,12,Commercial hybrid; Experimental hybrid; Forage hybrid; Male sterile line; Resistant check; Restorer line; Susceptible check,pareto_buiate_anthracnose_isolate_severity,1,74,Candidate criterion applied to accessions with documented accession or line labels
ref_costa_brazil_anthracnose_inheritance_2008,ref_costa_brazil_anthracnose_inheritance_2008,ref_costa_brazil_anthracnose_inheritance_2008,experiment:costa_brazil_anthracnose_inheritance_parent_reactions,Publicly available study source,26,5,1,1,7,Parent line in inheritance cross,,0,0,Inheritance experiment with parental responses
ref_diatta_senegal_hybrids_grain_mold_2019,ref_diatta_senegal_hybrids_grain_mold_2019,ref_diatta_senegal_hybrids_grain_mold_2019,experiment:diatta_senegal_natural_grain_mold_2012_2017,Publicly available study source,6,6,1,1,1,Parent check; Test hybrid,,1,1,Candidate reported from a small hybrid trial
ref_erpelding_botswana_anthracnose_2011,ref_erpelding_botswana_anthracnose_2011,ref_erpelding_botswana_anthracnose_2011,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Publicly available study source,688,172,1,2,2,Accession; Resistant control; Susceptible control,,1,47,Candidate criterion applied
ref_erpelding_burundi_anthracnose_2010,ref_erpelding_burundi_anthracnose_2010,ref_erpelding_burundi_anthracnose_2010,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Publicly available study source,640,160,1,2,2,Accession; Resistant control; Susceptible control,,1,89,Candidate criterion applied
ref_erpelding_mopti_anthracnose_2010,ref_erpelding_mopti_anthracnose_2010,ref_erpelding_mopti_anthracnose_2010,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Publicly available study source,388,97,1,2,2,Accession,,1,45,Candidate criterion applied
ref_erpelding_redlan_anthracnose_2007,ref_erpelding_redlan_anthracnose_2007,ref_erpelding_redlan_anthracnose_2007,experiment:erpelding_isabela_redlan_pi609251_f2_2005,Publicly available study source,11,2,1,6,5,Resistant parent; Susceptible parent,,0,0,Inheritance experiment with parental contrasts
ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_sikasso_mali_anthracnose_2008,experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Publicly available study source,584,146,1,2,2,Accession; Non inoculated control; Resistant control; Susceptible control,,1,109,Candidate criterion applied
