Experiment or assay identifier,Comparison,Comparison summarized,Source dataset identifier,Study identifier,Disease criterion identifiers,Complete observations (n),Candidates for each disease (n),Observed multidisease classifications (n),Exact expected mean,Expected median,Lower limit of central 95% interval,Upper limit of central 95% interval,Lower-tail probability,Upper-tail probability,Statistical finding,Scientific interpretation
panelA_pr_2017_2018,"Puerto Rico, 2017-2018",Individual study comparison,panelA_pr_multidisease,panelA_pr_2017_2018,M2-PR-DISEASE-01-anthracnose; M2-PR-DISEASE-01-grain_mold; M2-PR-DISEASE-01-rust,108,Anthracnose: 72; Grain mold: 0; Rust: 39,25,26,26,,,,,"The observed count was 25 (exact expected mean, 26.0).",The prespecified thresholds were applied to 108 accessions with scores for all three diseases.
prom_minicore_multidisease_2019,"Sorghum mini-core, 2019",Individual study comparison,prom_minicore_multidisease_2019,prom_minicore_multidisease_2019,minicore_source_reaction_anthracnose; minicore_source_reaction_downy_mildew; minicore_source_reaction_head_smut,224,Anthracnose: 111; Downy mildew: 49; Head smut: 101,76,74.52762276785714,75,,,,,"The observed count was 76 (exact expected mean, 74.53).",The source reports resistant and susceptible classes for 224 lines across three diseases and combines accessions and checks in the study cohort.
prom_senegal_seed_quality_2018_workbook,Senegal collection (Cuevas et al. 2018),Individual study comparison,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018_workbook,senegal_2018_workbook_anthracnose_R; senegal_2018_workbook_grain_mold_rule,129,Anthracnose: 56; Grain mold: 28,13,12.15503875968992,12,,,,,"The observed count was 13 (exact expected mean, 12.16).","Counts for accessions measured for both diseases came from the supplementary workbook and were used in the main comparison; counts reported in the article were examined in a sensitivity analysis."
prom_converted_lines_anthracnose_downy_2016,Converted lines,Individual study comparison,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,converted_lines_2016_anthracnose_R_both_years; converted_lines_2016_downy_mildew_R_or_MR,48,Anthracnose: 8; Downy mildew: 11,1,1.833333333333333,2,,,,,"The observed count was 1 (exact expected mean, 1.83).","The source-reported classes cover both diseases. Anthracnose required a resistant classification in both years, and the downy mildew criterion used the article's resistant or moderately resistant breeding recommendation."
prom_accession_anthracnose_grain_mold_2020,U.S. accessions,Individual study comparison,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,accession_2020_article_anthracnose_candidates; accession_2020_article_grain_mold_candidates,47,Anthracnose: 11; Grain mold: 2,0,0.4680851063829787,0,,,,,"The observed count was 0 (exact expected mean, 0.47).",The article identified anthracnose and grain-mold candidates among the same 47 accessions. Its two-accession treatment table is a follow-up to this cohort.
declared_multidisease_comparisons_fixed_margin,Sum across the five comparisons,Sum across the five study comparisons,,,,556,,115,114.9840799672634,115,105,125,0.5401614321764678,0.5372078142877608,Observed value lay within the central 95% interval,The observed overlap lay within the central 95% interval of the exact fixed-margin distribution.
