Independent screen identifier,Type of candidate criterion,Dataset identifiers,Study identifiers,Study roles,Source criterion identifiers,Responses covered by the criterion,Candidate criteria (n),Accessions or lines assessed (n),Candidates (n),Candidates among those assessed (proportion)
experiment:prom_mozambique_anthracnose_isabela_2004,Criterion reconstructed from a source-defined threshold,prom_mozambique_anthracnose_2006,prom_mozambique_anthracnose_2006,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,1,22,12,0.5454545454545454
experiment:prom_sap_grain_mold_texas_2020,Complete set of criteria used in the primary analysis,prom_sap_grain_mold_texas_2020_via_2026,prom_sap_grain_mold_texas_2020,Accession,source_reported_article_candidates,Criterion combines multiple measurements,1,306,3,0.0098039215686274
experiment:prom_sap_grain_mold_texas_2020,Criterion reported or supported by the source,prom_sap_grain_mold_texas_2020_via_2026,prom_sap_grain_mold_texas_2020,Accession,source_reported_article_candidates,Criterion combines multiple measurements,1,306,3,0.0098039215686274
experiment:prom_sap_head_smut_p5_p6_2021,Complete set of criteria used in the primary analysis,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2017; prom_sap_head_smut_p5_p6_2018,Accession,source_reported_reaction,Separate criterion for each disease,4,67,49,0.7313432835820896
experiment:prom_sap_head_smut_p5_p6_2021,Criterion reported or supported by the source,prom_sap_head_smut_p5_p6_2021,prom_sap_head_smut_p5_p6_2017; prom_sap_head_smut_p5_p6_2018,Accession,source_reported_reaction,Separate criterion for each disease,4,67,49,0.7313432835820896
experiment:prom_sap_texas_anthracnose_2019,Complete set of criteria used in the primary analysis,prom_sap_texas_anthracnose_2019,prom_sap_texas_anthracnose_2019,Accession,source_reported_resistance_scale,Separate criterion for each disease,1,348,71,0.2040229885057471
experiment:prom_sap_texas_anthracnose_2019,Criterion reported or supported by the source,prom_sap_texas_anthracnose_2019,prom_sap_texas_anthracnose_2019,Accession,source_reported_resistance_scale,Separate criterion for each disease,1,348,71,0.2040229885057471
experiment:prom_senegal_grain_mold_2022_two_location_trial,Complete set of criteria used in the primary analysis,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,Cultivar or line,source_reported_article_recommendation,Separate criterion for each disease,1,17,1,0.0588235294117647
experiment:prom_senegal_grain_mold_2022_two_location_trial,Criterion reported or supported by the source,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,Cultivar or line,source_reported_article_recommendation,Separate criterion for each disease,1,17,1,0.0588235294117647
experiment:prom_senegal_long_smut_grain_mold_2011_2012,Complete set of criteria used in the primary analysis,prom_lines_long_smut_grain_mold_2017; prom_us_lines_long_smut_grain_mold_2018,prom_lines_long_smut_grain_mold_2017; prom_us_lines_long_smut_grain_mold_2018,Line or hybrid; U.S. line or hybrid,source_supported_numeric_resistance_rule,Separate criterion for each disease,4,3,0,0
