Reference identifier,DOI,OpenAlex identifier,Citing Prom publications (n),Citing Prom bibliography identifiers,Citing Prom publication titles,Citation source,Search record URL,Search finding
Oa:W6628316086,,W6628316086,1,prombib_024,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6630964377,,W6630964377,3,prombib_024; prombib_064; prombib_090,"Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease; Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Response of sorghum lines and hybrids from the United States to long smut and grain mold",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6636295136,,W6636295136,1,prombib_032,Mycotoxigenic Potential of Ten Fusarium species Grown on Sorghum and in vitro,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W2612032254,,W2612032254,2,prombib_034; prombib_050,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum; Simple sequence repeat markers useful for sorghum downy mildew (Peronosclerospora sorghi) and related species.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W7053564776,,W7053564776,2,prombib_035; prombib_139,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose (Colletotrichum sublineolum) Resistance; Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W7074229912,,W7074229912,1,prombib_035,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose (Colletotrichum sublineolum) Resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6603206069,,W6603206069,1,prombib_045,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6609298465,,W6609298465,1,prombib_045,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6725956750,,W6725956750,1,prombib_045,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6727831295,,W6727831295,1,prombib_045,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
