Reference identifier,DOI,OpenAlex identifier,Citing Prom publications (n),Citing Prom bibliography identifiers,Citing Prom publication titles,Citation source,Search record URL,Search finding
Oa:W6807754091,,W6807754091,2,prombib_045; prombib_069,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6987931530,,W6987931530,2,prombib_045; prombib_050,Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6692051148,,W6692051148,2,prombib_048; prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut; Virulence and Molecular Genotyping Studies of Sporisorium reilianum Isolates in Sorghum.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6806421124,,W6806421124,2,prombib_048; prombib_050,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum; Virulence and Molecular Genotyping Studies of Sporisorium reilianum Isolates in Sorghum.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W2275188307,,W2275188307,2,prombib_052; prombib_059,"Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.; Response of near isogenic sorghum lines, differing at the P locus for plant color, to grain mold and head smut fungi",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W2470357444,,W2470357444,1,prombib_052,Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6678847611,,W6678847611,2,prombib_052; prombib_139,Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field; Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6659878711,,W6659878711,1,prombib_064,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6683848932,,W6683848932,2,prombib_064; prombib_105,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6634330782,,W6634330782,3,prombib_069; prombib_106; prombib_149,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose; Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6603940800,,W6603940800,1,prombib_086,Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6612955938,,W6612955938,1,prombib_089,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6621233215,,W6621233215,1,prombib_089,Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6739301629,,W6739301629,2,prombib_097; prombib_141,"Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6645284547,,W6645284547,2,prombib_105; prombib_139,"Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6717732383,,W6717732383,2,prombib_105; prombib_139,"Frequency of isolation of four fungal species colonizing sorghum grain collected from six lines in an anthracnose-infected field; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6746076884,,W6746076884,1,prombib_106,Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W2182638063,,W2182638063,1,prombib_111,"Sorghum seed fungal community and their association with grain mold severity, seed weight, and germination rate",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6666778901,,W6666778901,1,prombib_111,"Sorghum seed fungal community and their association with grain mold severity, seed weight, and germination rate",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
10.15226/jnhfs.2015.00157,10.15226/jnhfs.2015.00157,,1,prombib_113,"The occurrence and distribution of sorghum diseases in major production regions of Senegal, West Africa",Crossref publisher deposit,https://api.crossref.org/works/10.15226%2Fjnhfs.2015.00157,Crossref returned an HTTP error for this DOI on 14 July 2026; OpenAlex supplied no matching title.
Oa:W6922397887,,W6922397887,2,prombib_113; prombib_137,"A genome-wide association study of Nigerien and Senegalese sorghum germplasms of Exserohilum turcicum, the causal agent of leaf blight; The occurrence and distribution of sorghum diseases in major production regions of Senegal, West Africa",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6605274338,,W6605274338,1,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6606500284,,W6606500284,1,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6610766001,,W6610766001,1,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
