Experiment or assay identifier,Puerto Rico disease-score cutoff,Puerto Rico accessions or lines assessed (n),Puerto Rico candidates for zero diseases (n),Puerto Rico candidates for one disease (n),Puerto Rico candidates for two diseases (n),Puerto Rico candidates for three diseases (n),Puerto Rico single-disease candidates (n),Puerto Rico multidisease candidates (n),Single-disease candidates across five comparisons (n),Multidisease candidates across five comparisons (n),Pattern in Puerto Rico,Pattern across five comparisons,Scientific interpretation
panelA_common_cutoff_2,2,108,22,61,25,0,61,25,244,115,Single-disease classifications were more frequent,Single-disease classifications were more frequent,"The common cutoff provides sensitivity results for all three Puerto Rico disease means; the primary analysis applies the prespecified criteria to each original measurement scale."
panelA_common_cutoff_2.25,2.25,108,15,64,29,0,64,29,247,119,Single-disease classifications were more frequent,Single-disease classifications were more frequent,"The common cutoff provides sensitivity results for all three Puerto Rico disease means; the primary analysis applies the prespecified criteria to each original measurement scale."
panelA_common_cutoff_2.5,2.5,108,7,66,33,2,66,35,249,125,Single-disease classifications were more frequent,Single-disease classifications were more frequent,"The common cutoff provides sensitivity results for all three Puerto Rico disease means; the primary analysis applies the prespecified criteria to each original measurement scale."
panelA_common_cutoff_3,3,108,0,40,47,21,40,68,223,158,Multidisease classifications were more frequent,Single-disease classifications were more frequent,"The common cutoff provides sensitivity results for all three Puerto Rico disease means; the primary analysis applies the prespecified criteria to each original measurement scale."
